Name,DataSource,QuandlDataset,QuandlName,QuandlColumn(startindex=1),isYahooIndex
AAPL,Yahoo,NA,NA,0,false,true
AMLP,Yahoo,NA,NA,0,false,true
AR,Yahoo,NA,NA,0,false,true
ARGT,Yahoo,NA,NA,0,false,true
AXP,Yahoo,NA,NA,0,false,true
BA,Yahoo,NA,NA,0,false,true
BRF,Yahoo,NA,NA,0,false,true
CAGDF,Yahoo,NA,NA,0,false,true
CAT,Yahoo,NA,NA,0,false,true
CCJ,Yahoo,NA,NA,0,false,true
CEM,Yahoo,NA,NA,0,false,true
CHK,Yahoo,NA,NA,0,false,true
COG,Yahoo,NA,NA,0,false,true
CSCO,Yahoo,NA,NA,0,false,true
CVX,Yahoo,NA,NA,0,false,true
DIS,Yahoo,NA,NA,0,false,true
DOW,Yahoo,NA,NA,0,false,true
EPD,Yahoo,NA,NA,0,false,true
EQT,Yahoo,NA,NA,0,false,true
ET,Yahoo,NA,NA,0,false,true
GBTC,Yahoo,NA,NA,0,false,true
GDX,Yahoo,NA,NA,0,false,true
GDXJ,Yahoo,NA,NA,0,false,true
GS,Yahoo,NA,NA,0,false,true
HD,Yahoo,NA,NA,0,false,true
IBM,Yahoo,NA,NA,0,false,true
INP,Yahoo,NA,NA,0,false,true
INTC,Yahoo,NA,NA,0,false,true
JNJ,Yahoo,NA,NA,0,false,true
JPM,Yahoo,NA,NA,0,false,true
KO,Yahoo,NA,NA,0,false,true
MCD,Yahoo,NA,NA,0,false,true
MMM,Yahoo,NA,NA,0,false,true
MRK,Yahoo,NA,NA,0,false,true
MSFT,Yahoo,NA,NA,0,false,true
NKE,Yahoo,NA,NA,0,false,true
PFE,Yahoo,NA,NA,0,false,true
PG,Yahoo,NA,NA,0,false,true
RIG,Yahoo,NA,NA,0,false,true
RSX,Yahoo,NA,NA,0,false,true
SAND,Yahoo,NA,NA,0,false,true
TRV,Yahoo,NA,NA,0,false,true
TSLA,Yahoo,NA,NA,0,false,true
UNH,Yahoo,NA,NA,0,false,true
URA,Yahoo,NA,NA,0,false,true
UTX,Yahoo,NA,NA,0,false,true
V,Yahoo,NA,NA,0,false,true
VZ,Yahoo,NA,NA,0,false,true
WBA,Yahoo,NA,NA,0,false,true
WMB,Yahoo,NA,NA,0,false,true
WMT,Yahoo,NA,NA,0,false,true
XLE,Yahoo,NA,NA,0,false,true
XOM,Yahoo,NA,NA,0,false,true